commit	val_bpb	memory_gb	artifact_mb	status	description
tier1-sota	1.3361	3.3	13.68	keep	SOTA baseline — 11L KV4 ROPE16 LEAKY0.5 — 2000 steps reference
40a50ed	1.3354	3.4	16.13	keep	best stack — 12L KV2 ROPE23 LEAKY0.72 — current best (over 16 MB limit!)
0cc6dcb	1.339200	3.3	14.93	discard	NUM_KV_HEADS=1 (MQA)
0cc6dcb	1.332200	3.4	16.32	discard	ROPE_DIMS=20
0cc6dcb	1.336200	3.4	16.18	discard	ROPE_DIMS=24
0cc6dcb	1.335100	3.4	16.18	discard	ROPE_DIMS=26
0cc6dcb	1.334800	3.4	16.20	discard	ROPE_DIMS=32
0cc6dcb	1.331700	3.4	16.09	discard	ROPE_BASE=50000
0cc6dcb	1.332300	3.4	16.17	discard	ROPE_BASE=100000
0cc6dcb	1.336700	3.4	15.99	discard	LEAKY_SLOPE=0.60
0cc6dcb	1.332000	3.4	16.19	discard	LEAKY_SLOPE=0.65
0cc6dcb	1.331600	3.4	16.24	discard	LEAKY_SLOPE=0.80
0cc6dcb	1.329900	3.4	17.23	discard	MUON_WD=ADAM_WD=0.02
0cc6dcb	1.336500	3.4	15.45	discard	MUON_WD=ADAM_WD=0.06
0cc6dcb	1.329000	3.4	17.70	discard	MUON_WD=ADAM_WD=0.01
0cc6dcb	1.335100	3.4	16.17	discard	GRAD_CLIP_NORM=0.2
0cc6dcb	1.335700	3.4	16.12	discard	GRAD_CLIP_NORM=0.4
0cc6dcb	1.332100	3.3	16.16	discard	XSA_LAST_N=3
0cc6dcb	1.334900	3.4	16.13	discard	XSA_LAST_N=6
0cc6dcb	1.337900	3.4	16.19	discard	XSA_LAST_N=8
0cc6dcb	1.340300	3.1	15.03	discard	MLP_MULT=2.5
0cc6dcb	1.334100	3.6	17.43	discard	MLP_MULT=3.5
0cc6dcb	1.334500	3.8	18.31	discard	MLP_MULT=4.0
0cc6dcb	1.338200	3.1	15.03	discard	NUM_LAYERS=11
0cc6dcb	1.344100	2.8	13.69	discard	NUM_LAYERS=10
0cc6dcb	1.331000	3.6	17.50	discard	NUM_LAYERS=13
0cc6dcb	1.335400	3.4	15.52	keep	MUON_MOMENTUM_WARMUP_START=0.85
0cc6dcb	1.333500	3.4	15.90	keep	MUON_MOMENTUM_WARMUP_START=0.88
0cc6dcb	1.339200	3.3	14.80	discard	ROPE_BASE=50000 + NUM_KV_HEADS=1
0cc6dcb	1.335500	3.1	15.03	keep	ROPE_BASE=50000 + NUM_LAYERS=11
0cc6dcb	1.341200	3.1	14.85	discard	ROPE_BASE=50000 + MLP_MULT=2.5
0cc6dcb	1.340200	3.3	14.98	discard	LEAKY_SLOPE=0.80 + NUM_KV_HEADS=1
0cc6dcb	1.341400	3.3	14.93	discard	XSA_LAST_N=3 + NUM_KV_HEADS=1
0cc6dcb	1.338200	3.3	14.77	discard	NUM_KV_HEADS=1 + ROPE_DIMS=24
0cc6dcb	1.333900	3.4	17.20	discard	ROPE_DIMS=24 + MUON_WD=0.02 + ADAM_WD=0.02
0cc6dcb	1.332800	3.4	16.09	discard	ROPE_BASE=100000 + ROPE_DIMS=24
0cc6dcb	1.329500	3.4	17.08	discard	GRAD_CLIP_NORM=0.2 + MUON_WD=0.02 + ADAM_WD=0.02
0cc6dcb	1.335800	3.4	15.52	keep	MUON_MOMENTUM_WARMUP_START=0.85
0cc6dcb	1.333400	3.4	15.81	keep	MUON_MOMENTUM_WARMUP_START=0.88
0cc6dcb	1.339800	3.3	14.90	discard	ROPE_BASE=50000 + NUM_KV_HEADS=1
0cc6dcb	1.335800	3.1	14.84	keep	ROPE_BASE=50000 + NUM_LAYERS=11
0cc6dcb	1.341500	3.1	14.95	discard	ROPE_BASE=50000 + MLP_MULT=2.5
0cc6dcb	1.340700	3.3	14.88	discard	LEAKY_SLOPE=0.80 + NUM_KV_HEADS=1
0cc6dcb	1.341800	3.3	14.80	discard	XSA_LAST_N=3 + NUM_KV_HEADS=1
0cc6dcb	1.340200	3.3	14.90	discard	NUM_KV_HEADS=1 + ROPE_DIMS=24
0cc6dcb	1.334200	3.4	17.19	discard	ROPE_DIMS=24 + MUON_WD=0.02 + ADAM_WD=0.02
0cc6dcb	1.332600	3.4	16.20	discard	ROPE_BASE=100000 + ROPE_DIMS=24
0cc6dcb	1.329700	3.4	17.04	discard	GRAD_CLIP_NORM=0.2 + MUON_WD=0.02 + ADAM_WD=0.02
0cc6dcb	1.335900	3.4	15.42	keep	MUON_MOMENTUM_WARMUP_START=0.85
0cc6dcb	1.333900	3.4	15.92	keep	MUON_MOMENTUM_WARMUP_START=0.88
0cc6dcb	1.339000	3.3	14.91	discard	ROPE_BASE=50000 + NUM_KV_HEADS=1
0cc6dcb	1.336400	3.1	14.94	discard	ROPE_BASE=50000 + NUM_LAYERS=11
0cc6dcb	1.340800	3.1	14.84	discard	ROPE_BASE=50000 + MLP_MULT=2.5
0cc6dcb	1.341200	3.3	14.86	discard	LEAKY_SLOPE=0.80 + NUM_KV_HEADS=1
0cc6dcb	1.342200	3.3	14.92	discard	XSA_LAST_N=3 + NUM_KV_HEADS=1
0cc6dcb	1.338100	3.3	14.77	discard	NUM_KV_HEADS=1 + ROPE_DIMS=24
0cc6dcb	1.334200	3.4	17.19	discard	ROPE_DIMS=24 + MUON_WD=0.02 + ADAM_WD=0.02
0cc6dcb	1.333500	3.4	16.08	discard	ROPE_BASE=100000 + ROPE_DIMS=24
0cc6dcb	1.332700	3.4	17.22	discard	GRAD_CLIP_NORM=0.2 + MUON_WD=0.02 + ADAM_WD=0.02
0cc6dcb	1.335700	3.4	15.51	keep	MUON_MOMENTUM_WARMUP_START=0.85
